identificatie;naamOverheid;typeOverheid;straatnaam;wegnummer;rekenmethode;wegsoort;tunnelfactor;hoogte;taludSoort;overdrachtLinksSoort;overdrachtLinksAfstand;overdrachtLinksHoogte;overdrachtRechtsSoort;overdrachtRechtsHoogte;maximumsnelheid;maximumsnelheidDynamisch;intensiteitLichtVerkeer;intensiteitLichtVerkeerDynamisch;intensiteitMiddelzwaarVerkeer;intensiteitZwaarVerkeer;intensiteitBusVerkeer;stagnatiefactorLichtVerkeer;stagnatiefactorMiddelzwaarVerkeer;stagnatiefactorZwaarVerkeer;stagnatiefactorBusVerkeer;opmerking;tijdstipRegistratie;geometrie
34366966_1279556;Gemeente Amsterdam;G;Anderlechtlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5151;-999;99;35;121;0.07;0.07;0.07;0.07;MT2017_1610;27-9-2022 09:14;LINESTRING(115785.9999999999 483898.9999999999,115782.465 483907.8156999979,115776.3796 483915.2241000009,115776.9999999999 484048.9999999999,115776.9999999999 484055.9999999999)
34366966_1279523;Gemeente Amsterdam;G;Zuiderzeeweg;;SRM1;e;1;-999;;;-999;-999;;-999;70;-999;4781;-999;94;80;96;0.19;0.19;0.19;0.19;MT2017_2837;27-9-2022 09:14;LINESTRING(126075 487223,126075 487263.9999999999,126076.9999999999 487331,126078 487366.9999999999,126079 487436,126082.9999999999 487459,126099 487530)
34366966_1279557;Gemeente Amsterdam;G;Anderlechtlaan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;7188;-999;112;53;150;0.05;0.05;0.05;0.05;MT2017_1616;27-9-2022 09:14;LINESTRING(115874.502 483582.2519999999,115932.2879999989 483430.824000001,115939.0909999979 483421.1049999999,115955.0129999999 483406.6449999999,115976.1689999999 483359.947000001,115992.2519999999 483331.467,116006.57 483317.381999999,116020.9999999999 483312.9999999999)
34366966_1279524;Gemeente Amsterdam;G;Kromwijkdreef;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;2202;-999;89;49;124;0.07;0.07;0.07;0.07;MT2017_1444;27-9-2022 09:14;LINESTRING(127457.763300002 480672.6424999979,127455.9999999999 480665,127499 480586.9999999999,127503.9999999999 480576.9999999999,127512 480560.9999999999,127516.9999999999 480550.9999999999,127550.9999999999 480487,127563 480473.9999999999)
34366966_1279558;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;4791;-999;38;13;120;0;0;0;0;MT2017_1617;27-9-2022 09:14;LINESTRING(115934.576000001 485371.6350000019,116097.8619999999 485426.0179999999)
34366966_1279559;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;4711;-999;42;15;120;0;0;0;0;MT2017_1630;27-9-2022 09:14;LINESTRING(116097.8619999999 485426.0179999999,116262.192000002 485479.809999999)
34366966_1279561;Gemeente Amsterdam;G;Plesmanlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;9008;-999;129;69;0;0.07;0.07;0.07;0.07;MT2017_1652;27-9-2022 09:14;LINESTRING(116383.9999999999 484980.9999999999,116484 484982.9999999999,116643.9999999999 484984.9999999999,116704 484985.9999999999,116839.2369999999 484983.6400000009,116852.842 484983.442000002)
34366966_1279562;Gemeente Amsterdam;G;Burg de Vlugtlaan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;6550;-999;76;28;172;0.24;0.24;0.24;0.24;MT2017_1657;27-9-2022 09:14;LINESTRING(116471.9999999999 488330,116487 488323.9999999999)
34366966_1279525;Gemeente Amsterdam;G;Kromwijkdreef;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;2202;-999;89;49;124;0.07;0.07;0.07;0.07;MT2017_1445;27-9-2022 09:14;LINESTRING(127457.763300002 480672.6424999979,127465.9999999999 480670,127509 480592,127513.9999999999 480581.9999999999,127523 480565.9999999999,127527.9999999999 480557,127564 480489,127574.9999999999 480478)
34366966_1279563;Gemeente Amsterdam;G;Louwesweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;3688;-999;28;12;115;0.35;0.35;0.35;0.35;MT2017_1666;27-9-2022 09:14;LINESTRING(116618.1680000009 484461.077,116635.9783999989 484447.8183000009,116707 484454.9999999999,116843 484466,116856.464000002 484469.7580000009)
34366966_1279564;Gemeente Amsterdam;G;Oostoever;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;7663;-999;169;65;16;0.11;0.11;0.11;0.11;MT2017_1676;27-9-2022 09:14;LINESTRING(116844.9999999999 486381.9999999999,116844.9999999999 486484,116844.9999999999 486524.9999999999,116846 486550.9999999999,116850.9999999999 486575)
34366966_1279565;Gemeente Amsterdam;G;Johan Huizingalaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;3393;-999;70;26;178;0.24;0.24;0.24;0.24;MT2017_1679;27-9-2022 09:14;LINESTRING(116856.197000001 484623.3069999999,116853.9999999999 484754,116853 484820.9999999999,116853.9999999999 484947,116852.8139999989 484966.9690000009,116852.842 484983.442000002)
34366966_1279566;Gemeente Amsterdam;G;Johan Huizingalaan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;6220;-999;97;39;345;0.1;0.1;0.1;0.1;MT2017_1681;27-9-2022 09:14;LINESTRING(116857.6469999999 485516.552000001,116858.7897999989 485352.073399998)
34366966_1279567;Gemeente Amsterdam;G;Johan Huizingalaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;7020;-999;132;53;345;0.17;0.17;0.17;0.17;MT2017_1683;27-9-2022 09:14;LINESTRING(116858.7897999989 485352.073399998,116859 485109)
34366966_1279526;Gemeente Amsterdam;G;Daalwijkdreef;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5182;-999;80;46;193;0.04;0.04;0.04;0.04;MT2017_1454;27-9-2022 09:14;LINESTRING(125584.9624000009 481801.807100002,125594.4230999979 481811.8691999989,125771.9999999999 481909.9999999999)
34366966_1279568;Gemeente Amsterdam;G;Johan Huizingalaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;3393;-999;70;26;178;0.24;0.24;0.24;0.24;MT2017_1686;27-9-2022 09:14;LINESTRING(116867.840999998 484983.223000001,116867.9078 484959.392700002,116867.9999999999 484825.9999999999)
34366966_1279569;Gemeente Amsterdam;G;Johan Huizingalaan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;6296;-999;78;30;46;0.22;0.22;0.22;0.22;MT2017_1688;27-9-2022 09:14;LINESTRING(116871.026700001 484475.3815999999,116871.9999999999 484377,116871.9999999999 484337.9999999999)
34366966_1279570;Gemeente Amsterdam;G;Oostoever;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;7347;-999;204;80;16;0.06;0.06;0.06;0.06;MT2017_1695;27-9-2022 09:14;LINESTRING(117008 486894.9999999999,117080.9999999999 487037.9999999999,117116.3116 487114.2414)
34366966_1279527;Gemeente Amsterdam;G;Daalwijkdreef;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5182;-999;80;46;193;0.04;0.04;0.04;0.04;MT2017_1455;27-9-2022 09:14;LINESTRING(125584.9624000009 481801.807100002,125597.6532999979 481803.6964000019,125663.2619999979 481837.758000001,125775.9999999999 481902.9999999999)
